id,description,chart_template_id:id,type_tax_use,name,amount_type,amount,account_id:id,refund_account_id:id,children_tax_ids:id,tag_ids:id
ST0,ST0,l10n_uk,sale,Zero rated sales,percent,0,2200,2200,,"tag_uk_02,tag_uk_06"
ST1,ST1,l10n_uk,sale,Standard rate sales (17.5%),percent,17.5,2200,2200,,"tag_uk_02,tag_uk_06"
ST2,ST2,l10n_uk,sale,Exempt sales,percent,0,2200,2200,,"tag_uk_02,tag_uk_06"
PT0,PT0,l10n_uk,purchase,Zero rated purchases,percent,0,2201,2201,,"tag_uk_04,tag_uk_08"
PT1,PT1,l10n_uk,purchase,Standard rate purchases (17.5%),percent,17.5,2201,2201,,"tag_uk_04,tag_uk_08"
PT2,PT2,l10n_uk,purchase,Exempt purchases,percent,0,2201,2201,,"tag_uk_04,tag_uk_08"
PT8M,PT8M,l10n_uk,none,Standard rated purchases from EC,percent,17.5,2201,2201,,tag_uk_03
PT8R,PT8R,l10n_uk,none,Reverse EC Purchase VAT,percent,-17.5,2201,2201,,tag_uk_05
PT8,PT8,l10n_uk,purchase,Standard rated purchases from EC,group,,2201,2201,"PT8M,PT8R","tag_uk_09,tag_uk_03"
PT5,PT5,l10n_uk,purchase,Lower rate purchases (5%),percent,5,2201,2201,,"tag_uk_08,tag_uk_04"
ST4,ST4,l10n_uk,sale,Sales to customers in EC,percent,0,2200,2200,,tag_uk_07
PT7,PT7,l10n_uk,purchase,Zero rated purchases from EC,percent,0,2201,2201,,tag_uk_09
ST11,ST11,l10n_uk,sale,Standard rate sales (20%),percent,20,2200,2200,,"tag_uk_02,tag_uk_06"
PT11,PT11,l10n_uk,purchase,Standard rate purchases (20%),percent,20,2201,2201,,"tag_uk_08,tag_uk_04"
